"","x"
"231","601 CONTIGUA 2"
"232","626 CONTIGUA 1"
"233","208 BASICA"
"234","219 CONTIGUA 1"
"235","830 BASICA"
"236","400 CONTIGUA 2"
"237","581 BASICA"
"238","316 CONTIGUA 2"
"239","970 BASICA"
"240","62 BASICA"
"241","635 CONTIGUA 1"
"242","498 CONTIGUA 2"
"243","642 CONTIGUA 1"
"244","6 CONTIGUA 1"
"245","582 CONTIGUA 2"
"246","1011 BASICA"
"247","169 BASICA"
"248","781 BASICA"
"249","1108 BASICA"
"250","437 BASICA"
"251","951 EXTRAORDINARIA 1 CONTIGUA 2"
"252","336 CONTIGUA 7"
"253","647 BASICA"
"254","1090 CONTIGUA 1"
"255","1333 CONTIGUA 1"
"256","71 BASICA"
"257","1216 CONTIGUA 1"
"258","496 CONTIGUA 1"
"259","1195 BASICA"
"260","552 BASICA"
"261","532 CONTIGUA 7"
"262","638 CONTIGUA 12"
"263","374 CONTIGUA 10"
"264","430 CONTIGUA 1"
"265","1003 BASICA"
"266","1203 CONTIGUA 1"
"267","375 CONTIGUA 1"
"268","729 CONTIGUA 1"
"269","803 CONTIGUA 1"
"270","207 CONTIGUA 2"
"271","1141 CONTIGUA 2"
"272","1056 BASICA"
"273","1445 BASICA"
"274","1295 CONTIGUA 1"
"275","915 CONTIGUA 3"
"276","764 BASICA"
"277","1191 CONTIGUA 1"
"278","1350 CONTIGUA 1"
"279","1294 BASICA"
"280","632 CONTIGUA 2"
"281","1425 BASICA"
"282","1556 CONTIGUA 2"
"283","351 BASICA"
"284","899 BASICA"
"285","474 BASICA"
"286","844 BASICA"
"287","936 EXTRAORDINARIA 1"
"288","1177 BASICA"
"289","773 CONTIGUA 2"
"290","510 BASICA"
"291","1130 BASICA"
"292","1479 BASICA"
"293","911 CONTIGUA 3"
"294","359 CONTIGUA 5"
"295","361 BASICA"
"296","1352 CONTIGUA 1"
"297","1326 CONTIGUA 2"
"298","1467 BASICA"
"299","1013 BASICA"
"300","1341 BASICA"
"301","374 CONTIGUA 5"
"302","1104 BASICA"
"303","586 BASICA"
"304","1187 CONTIGUA 1"
"305","989 BASICA"
"306","1228 CONTIGUA 1"
"307","358 CONTIGUA 1"
"308","421 BASICA"
"309","338 CONTIGUA 2"
"310","125 CONTIGUA 1"
"311","206 CONTIGUA 1"
"312","918 BASICA"
"313","1553 BASICA"
"314","901 BASICA"
"315","1069 BASICA"
"316","1540 CONTIGUA 1"
"317","924 BASICA"
"318","670 CONTIGUA 3"
"319","215 CONTIGUA 2"
"320","1438 CONTIGUA 2"
"321","777 BASICA"
"322","1212 CONTIGUA 2"
"323","94 CONTIGUA 1"
"324","955 BASICA"
"325","48 CONTIGUA 1"
"326","1438 CONTIGUA 1"
"327","411 CONTIGUA 1"
"328","1078 BASICA"
"329","110 CONTIGUA 1"
"330","1300 BASICA"
"331","344 CONTIGUA 4"
"332","1522 CONTIGUA 1"
"333","1043 CONTIGUA 1"
"334","1490 BASICA"
"335","344 CONTIGUA 7"
"336","784 BASICA"
"337","1125 BASICA"
"338","113 BASICA"
"339","579 CONTIGUA 1"
"340","341 EXTRAORDINARIA 1 CONTIGUA 7"
"341","690 CONTIGUA 1"
"342","1068 BASICA"
"343","601 BASICA"
"344","939 BASICA"
"345","364 BASICA"
"346","705 CONTIGUA 2"
"347","949 CONTIGUA 3"
"348","307 BASICA"
"349","205 CONTIGUA 1"
"350","740 BASICA"
"351","255 EXTRAORDINARIA 1"
"352","677 BASICA"
"353","915 CONTIGUA 1"
"354","896 CONTIGUA 1"
"355","972 BASICA"
"356","565 CONTIGUA 1"
"357","95 BASICA"
"358","1498 BASICA"
"359","1332 CONTIGUA 1"
"360","853 BASICA"
"361","1047 BASICA"
"362","889 CONTIGUA 1"
"363","928 BASICA"
"364","1382 BASICA"
"365","1299 BASICA"
"366","66 BASICA"
"367","180 CONTIGUA 2"
"368","857 CONTIGUA 2"
"369","103 BASICA"
"370","295 CONTIGUA 5"
