"","x"
"230","164 BASICA"
"231","201 BASICA"
"232","1438 CONTIGUA 2"
"233","264 EXTRAORDINARIA 1"
"234","221 CONTIGUA 8"
"235","1387 BASICA"
"236","114 BASICA"
"237","113 BASICA"
"238","1376 CONTIGUA 1"
"239","217 CONTIGUA 6"
"240","1379 BASICA"
"241","1425 BASICA"
"242","210 CONTIGUA 2"
"243","1429 BASICA"
"244","223 CONTIGUA 7"
"245","112 CONTIGUA 2"
"246","221 CONTIGUA 1"
"247","1388 BASICA"
"248","215 CONTIGUA 3"
"249","1389 CONTIGUA 1"
"250","220 BASICA"
"251","1377 CONTIGUA 1"
"252","112 CONTIGUA 1"
"253","956 EXTRAORDINARIA 1"
"254","956 CONTIGUA 8"
"255","956 EXTRAORDINARIA 2"
"256","889 CONTIGUA 1"
"257","790 CONTIGUA 1"
"258","788 CONTIGUA 1"
"259","855 BASICA"
"260","831 CONTIGUA 1"
"261","822 CONTIGUA 3"
"262","957 BASICA"
"263","875 BASICA"
"264","833 BASICA"
"265","858 CONTIGUA 2"
"266","959 BASICA"
"267","875 CONTIGUA 1"
"268","866 CONTIGUA 1"
"269","38 CONTIGUA 1"
"270","953 BASICA"
"271","146 EXTRAORDINARIA 1"
"272","146 BASICA"
"273","331 BASICA"
"274","250 BASICA"
"275","935 BASICA"
"276","949 CONTIGUA 5"
"277","780 CONTIGUA 5"
"278","949 CONTIGUA 4"
"279","780 BASICA"
"280","773 BASICA"
"281","951 CONTIGUA 1"
"282","939 BASICA"
"283","781 BASICA"
"284","964 BASICA"
"285","964 CONTIGUA 1"
"286","966 CONTIGUA 3"
"287","974 BASICA"
"288","932 CONTIGUA 1"
"289","910 CONTIGUA 5"
"290","977 BASICA"
"291","901 BASICA"
"292","981 CONTIGUA 1"
"293","974 CONTIGUA 2"
"294","929 CONTIGUA 1"
"295","986 BASICA"
"296","978 BASICA"
"297","928 CONTIGUA 2"
"298","907 CONTIGUA 1"
"299","808 CONTIGUA 2"
"300","808 CONTIGUA 5"
"301","808 CONTIGUA 4"
"302","862 CONTIGUA 1"
"303","777 ESPECIAL 1"
"304","871 BASICA"
"305","784 CONTIGUA 1"
"306","798 BASICA"
"307","820 BASICA"
"308","880 CONTIGUA 1"
"309","905 BASICA"
"310","777 CONTIGUA 1"
"311","899 BASICA"
"312","817 BASICA"
"313","794 BASICA"
"314","1324 BASICA"
"315","742 CONTIGUA 2"
"316","661 CONTIGUA 2"
"317","694 CONTIGUA 1"
"318","695 CONTIGUA 1"
"319","670 CONTIGUA 2"
"320","723 CONTIGUA 2"
"321","638 CONTIGUA 9"
"322","646 CONTIGUA 1"
"323","681 CONTIGUA 2"
"324","644 CONTIGUA 3"
"325","694 BASICA"
"326","631 CONTIGUA 4"
"327","644 CONTIGUA 4"
"328","644 CONTIGUA 1"
"329","631 CONTIGUA 2"
"330","637 CONTIGUA 1"
"331","723 BASICA"
"332","729 CONTIGUA 6"
"333","638 CONTIGUA 12"
"334","738 BASICA"
"335","737 EXTRAORDINARIA 1 CONTIGUA 1"
"336","689 CONTIGUA 1"
"337","656 BASICA"
"338","686 BASICA"
"339","652 CONTIGUA 1"
"340","668 CONTIGUA 1"
"341","732 CONTIGUA 2"
"342","714 BASICA"
"343","721 CONTIGUA 2"
"344","678 BASICA"
"345","731 BASICA"
"346","705 CONTIGUA 2"
"347","692 CONTIGUA 1"
